emp_no,salary,from_date,to_date
10038,62916,2017-01-01,2017-12-31
10038,65446,2018-01-01,2018-12-31
10038,67913,2019-01-01,2019-12-31
10038,72019,2020-01-01,2020-12-31
10038,74294,2021-01-01,2021-12-31
10038,78503,2022-01-01,2022-12-31
10038,83081,2023-01-01,2023-12-31
10039,54014,2014-01-01,2014-12-31
10039,56764,2015-01-01,2015-12-31
10039,58194,2016-01-01,2016-12-31
10039,61694,2017-01-01,2017-12-31
10039,63611,2018-01-01,2018-12-31
10039,65419,2019-01-01,2019-12-31
10039,67997,2020-01-01,2020-12-31
10039,70368,2021-01-01,2021-12-31
10039,72876,2022-01-01,2022-12-31
10039,75363,2023-01-01,2023-12-31
10040,50801,2008-01-01,2008-12-31
10040,52737,2009-01-01,2009-12-31
10040,56079,2010-01-01,2010-12-31
10040,57239,2011-01-01,2011-12-31
10040,60628,2012-01-01,2012-12-31
10040,64360,2013-01-01,2013-12-31
10040,65887,2014-01-01,2014-12-31
10040,67672,2015-01-01,2015-12-31
10040,70271,2016-01-01,2016-12-31
10040,73385,2017-01-01,2017-12-31
10040,77065,2018-01-01,2018-12-31
10040,82745,2019-01-01,2019-12-31
10040,87892,2020-01-01,2020-12-31
10040,91289,2021-01-01,2021-12-31
10040,93757,2022-01-01,2022-12-31
10040,100785,2023-01-01,2023-12-31
10041,60140,2012-01-01,2012-12-31
10041,62139,2013-01-01,2013-12-31
10041,66951,2014-01-01,2014-12-31
10041,70210,2015-01-01,2015-12-31
10041,73530,2016-01-01,2016-12-31
10041,79363,2017-01-01,2017-12-31
10041,82729,2018-01-01,2018-12-31
10041,87867,2019-01-01,2019-12-31
10041,94436,2020-01-01,2020-12-31
10041,100615,2021-01-01,2021-12-31
10041,107468,2022-01-01,2022-12-31
10041,114940,2023-01-01,2023-12-31
10042,62293,2022-01-01,2022-12-31
10042,66359,2023-01-01,2023-12-31
10043,42682,2022-01-01,2022-12-31
10043,44881,2023-01-01,2023-12-31
10044,51854,2013-01-01,2013-12-31
10044,53134,2014-01-01,2014-12-31
10044,55995,2015-01-01,2015-12-31
10044,57322,2016-01-01,2016-12-31
10044,60351,2017-01-01,2017-12-31
10044,63388,2018-01-01,2018-12-31
10044,66833,2019-01-01,2019-12-31
10044,68770,2020-01-01,2020-12-31
10044,71499,2021-01-01,2021-12-31
10044,75161,2022-01-01,2022-12-31
10044,77188,2023-01-01,2023-12-31
10045,59108,2005-01-01,2005-12-31
10045,62023,2006-01-01,2006-12-31
10045,66608,2007-01-01,2007-12-31
10045,69720,2008-01-01,2008-12-31
10045,71347,2009-01-01,2009-12-31
10045,73338,2010-01-01,2010-12-31
10045,76632,2011-01-01,2011-12-31
10045,80757,2012-01-01,2012-12-31
10045,85079,2013-01-01,2013-12-31
10045,90214,2014-01-01,2014-12-31
10045,93686,2015-01-01,2015-12-31
10045,95682,2016-01-01,2016-12-31
10045,99056,2017-01-01,2017-12-31
10045,101055,2018-01-01,2018-12-31
10045,104397,2019-01-01,2019-12-31
10045,106942,2020-01-01,2020-12-31
10045,111799,2021-01-01,2021-12-31
10045,118733,2022-01-01,2022-12-31
10045,124962,2023-01-01,2023-12-31
10046,69301,2018-01-01,2018-12-31
10046,70974,2019-01-01,2019-12-31
10046,76369,2020-01-01,2020-12-31
10046,78041,2021-01-01,2021-12-31
10046,81516,2022-01-01,2022-12-31
10046,86907,2023-01-01,2023-12-31
10047,63897,2022-01-01,2022-12-31
10047,67651,2023-01-01,2023-12-31
10048,69207,2011-01-01,2011-12-31
10048,72179,2012-01-01,2012-12-31
10048,77388,2013-01-01,2013-12-31
10048,83146,2014-01-01,2014-12-31
10048,86682,2015-01-01,2015-12-31
10048,91966,2016-01-01,2016-12-31
10048,97457,2017-01-01,2017-12-31
10048,102559,2018-01-01,2018-12-31
10048,108631,2019-01-01,2019-12-31
10048,113070,2020-01-01,2020-12-31
10048,116542,2021-01-01,2021-12-31
10048,122629,2022-01-01,2022-12-31
10048,128972,2023-01-01,2023-12-31
10049,47297,2009-01-01,2009-12-31
10049,50612,2010-01-01,2010-12-31
10049,53920,2011-01-01,2011-12-31
10049,58164,2012-01-01,2012-12-31
10049,60943,2013-01-01,2013-12-31
10049,64791,2014-01-01,2014-12-31
10049,67735,2015-01-01,2015-12-31
10049,70631,2016-01-01,2016-12-31
10049,73016,2017-01-01,2017-12-31
10049,76494,2018-01-01,2018-12-31
10049,78735,2019-01-01,2019-12-31
10049,81200,2020-01-01,2020-12-31
10049,87088,2021-01-01,2021-12-31
10049,92829,2022-01-01,2022-12-31
10049,94865,2023-01-01,2023-12-31
10050,60149,2015-01-01,2015-12-31
10050,64116,2016-01-01,2016-12-31
10050,68798,2017-01-01,2017-12-31
10050,70238,2018-01-01,2018-12-31
10050,72511,2019-01-01,2019-12-31
10050,74400,2020-01-01,2020-12-31
10050,76037,2021-01-01,2021-12-31
10050,80284,2022-01-01,2022-12-31
10050,85277,2023-01-01,2023-12-31
10051,64266,2017-01-01,2017-12-31
10051,65721,2018-01-01,2018-12-31
10051,68766,2019-01-01,2019-12-31
10051,72368,2020-01-01,2020-12-31
10051,77090,2021-01-01,2021-12-31
10051,82221,2022-01-01,2022-12-31
10051,84556,2023-01-01,2023-12-31
10052,47673,2012-01-01,2012-12-31
10052,50959,2013-01-01,2013-12-31
10052,54214,2014-01-01,2014-12-31
10052,56335,2015-01-01,2015-12-31
10052,59482,2016-01-01,2016-12-31
10052,63071,2017-01-01,2017-12-31
10052,65545,2018-01-01,2018-12-31
10052,68042,2019-01-01,2019-12-31
10052,69987,2020-01-01,2020-12-31
10052,74159,2021-01-01,2021-12-31
10052,76625,2022-01-01,2022-12-31
10052,79539,2023-01-01,2023-12-31
10053,59387,2007-01-01,2007-12-31
10053,63709,2008-01-01,2008-12-31
10053,68467,2009-01-01,2009-12-31
10053,72407,2010-01-01,2010-12-31
10053,75711,2011-01-01,2011-12-31
10053,79476,2012-01-01,2012-12-31
10053,85701,2013-01-01,2013-12-31
10053,92256,2014-01-01,2014-12-31
10053,97817,2015-01-01,2015-12-31
10053,104385,2016-01-01,2016-12-31
10053,108468,2017-01-01,2017-12-31
10053,113346,2018-01-01,2018-12-31
10053,116627,2019-01-01,2019-12-31
10053,121593,2020-01-01,2020-12-31
10053,129528,2021-01-01,2021-12-31
10053,135798,2022-01-01,2022-12-31
10053,145434,2023-01-01,2023-12-31
10054,63185,2013-01-01,2013-12-31
10054,64995,2014-01-01,2014-12-31
10054,68100,2015-01-01,2015-12-31
10054,69697,2016-01-01,2016-12-31
10054,72816,2017-01-01,2017-12-31
10054,76092,2018-01-01,2018-12-31
10054,80033,2019-01-01,2019-12-31
10054,83498,2020-01-01,2020-12-31
10054,86445,2021-01-01,2021-12-31
10054,89886,2022-01-01,2022-12-31
10054,92110,2023-01-01,2023-12-31
10055,52159,2015-01-01,2015-12-31
10055,53491,2016-01-01,2016-12-31
10055,56886,2017-01-01,2017-12-31
10055,58673,2018-01-01,2018-12-31
10055,60791,2019-01-01,2019-12-31
10055,64464,2020-01-01,2020-12-31
10055,68085,2021-01-01,2021-12-31
10055,73015,2022-01-01,2022-12-31
10055,75299,2023-01-01,2023-12-31
10056,63734,2018-01-01,2018-12-31
10056,67576,2019-01-01,2019-12-31
10056,69807,2020-01-01,2020-12-31
10056,72078,2021-01-01,2021-12-31
10056,77442,2022-01-01,2022-12-31
10056,80399,2023-01-01,2023-12-31
10057,46940,2015-01-01,2015-12-31
10057,50518,2016-01-01,2016-12-31
10057,54444,2017-01-01,2017-12-31
10057,55916,2018-01-01,2018-12-31
10057,60387,2019-01-01,2019-12-31
10057,63329,2020-01-01,2020-12-31
10057,65517,2021-01-01,2021-12-31
10057,69203,2022-01-01,2022-12-31
10057,71436,2023-01-01,2023-12-31
10058,58090,2018-01-01,2018-12-31
10058,60372,2019-01-01,2019-12-31
10058,62604,2020-01-01,2020-12-31
10058,65607,2021-01-01,2021-12-31
10058,69472,2022-01-01,2022-12-31
10058,72147,2023-01-01,2023-12-31
10059,68927,2017-01-01,2017-12-31
10059,72362,2018-01-01,2018-12-31
10059,74237,2019-01-01,2019-12-31
10059,80092,2020-01-01,2020-12-31
10059,83949,2021-01-01,2021-12-31
10059,89857,2022-01-01,2022-12-31
10059,96583,2023-01-01,2023-12-31
10060,53563,2005-01-01,2005-12-31
10060,54781,2006-01-01,2006-12-31
10060,58716,2007-01-01,2007-12-31
10060,62501,2008-01-01,2008-12-31
10060,63811,2009-01-01,2009-12-31
10060,67205,2010-01-01,2010-12-31
10060,70904,2011-01-01,2011-12-31
10060,75385,2012-01-01,2012-12-31
10060,78227,2013-01-01,2013-12-31
10060,80712,2014-01-01,2014-12-31
10060,83440,2015-01-01,2015-12-31
10060,87961,2016-01-01,2016-12-31
10060,91017,2017-01-01,2017-12-31
10060,95844,2018-01-01,2018-12-31
10060,103186,2019-01-01,2019-12-31
10060,107339,2020-01-01,2020-12-31
10060,114402,2021-01-01,2021-12-31
10060,120043,2022-01-01,2022-12-31
10060,127655,2023-01-01,2023-12-31
10061,55100,2011-01-01,2011-12-31
10061,56758,2012-01-01,2012-12-31
10061,60600,2013-01-01,2013-12-31
10061,62427,2014-01-01,2014-12-31
10061,66373,2015-01-01,2015-12-31
10061,69645,2016-01-01,2016-12-31
10061,74869,2017-01-01,2017-12-31
10061,78801,2018-01-01,2018-12-31
10061,83411,2019-01-01,2019-12-31
10061,85373,2020-01-01,2020-12-31
10061,87253,2021-01-01,2021-12-31
10061,93430,2022-01-01,2022-12-31
10061,100597,2023-01-01,2023-12-31
10062,65045,2015-01-01,2015-12-31
10062,66370,2016-01-01,2016-12-31
10062,68244,2017-01-01,2017-12-31
10062,72191,2018-01-01,2018-12-31
10062,73929,2019-01-01,2019-12-31
10062,76077,2020-01-01,2020-12-31
10062,78596,2021-01-01,2021-12-31
10062,82318,2022-01-01,2022-12-31
10062,84262,2023-01-01,2023-12-31
10063,60202,2005-01-01,2005-12-31
10063,64703,2006-01-01,2006-12-31
10063,68556,2007-01-01,2007-12-31
10063,69991,2008-01-01,2008-12-31
10063,73625,2009-01-01,2009-12-31
10063,76914,2010-01-01,2010-12-31
10063,78529,2011-01-01,2011-12-31
10063,83502,2012-01-01,2012-12-31
10063,87856,2013-01-01,2013-12-31
10063,91124,2014-01-01,2014-12-31
10063,95692,2015-01-01,2015-12-31
10063,101612,2016-01-01,2016-12-31
10063,106269,2017-01-01,2017-12-31
10063,114386,2018-01-01,2018-12-31
10063,117904,2019-01-01,2019-12-31
10063,126756,2020-01-01,2020-12-31
10063,133279,2021-01-01,2021-12-31
10063,137871,2022-01-01,2022-12-31
10063,145755,2023-01-01,2023-12-31
10064,51614,2023-01-01,2023-12-31
10065,53005,2005-01-01,2005-12-31
10065,54316,2006-01-01,2006-12-31
10065,58528,2007-01-01,2007-12-31
10065,61310,2008-01-01,2008-12-31
10065,63430,2009-01-01,2009-12-31
10065,67352,2010-01-01,2010-12-31
10065,69911,2011-01-01,2011-12-31
10065,74782,2012-01-01,2012-12-31
10065,76639,2013-01-01,2013-12-31
10065,82731,2014-01-01,2014-12-31
10065,87611,2015-01-01,2015-12-31
10065,89529,2016-01-01,2016-12-31
10065,93496,2017-01-01,2017-12-31
10065,97481,2018-01-01,2018-12-31
10065,102214,2019-01-01,2019-12-31
10065,108163,2020-01-01,2020-12-31
10065,114887,2021-01-01,2021-12-31
10065,117754,2022-01-01,2022-12-31
10065,126081,2023-01-01,2023-12-31
10066,50855,2022-01-01,2022-12-31
10066,53598,2023-01-01,2023-12-31
10067,43124,2022-01-01,2022-12-31
10067,46301,2023-01-01,2023-12-31
10068,47528,2020-01-01,2020-12-31
10068,49081,2021-01-01,2021-12-31
10068,52619,2022-01-01,2022-12-31
10068,56473,2023-01-01,2023-12-31
10069,41525,2012-01-01,2012-12-31
10069,44658,2013-01-01,2013-12-31
10069,47385,2014-01-01,2014-12-31
10069,49129,2015-01-01,2015-12-31
10069,51712,2016-01-01,2016-12-31
10069,54788,2017-01-01,2017-12-31
10069,56473,2018-01-01,2018-12-31
10069,60484,2019-01-01,2019-12-31
10069,61750,2020-01-01,2020-12-31
10069,63752,2021-01-01,2021-12-31
10069,65578,2022-01-01,2022-12-31
10069,70118,2023-01-01,2023-12-31
10070,42521,2022-01-01,2022-12-31
10070,44134,2023-01-01,2023-12-31
10071,58569,2007-01-01,2007-12-31
10071,62673,2008-01-01,2008-12-31
10071,65389,2009-01-01,2009-12-31
10071,70214,2010-01-01,2010-12-31
10071,73015,2011-01-01,2011-12-31
10071,77785,2012-01-01,2012-12-31
10071,79993,2013-01-01,2013-12-31
10071,86337,2014-01-01,2014-12-31
10071,91815,2015-01-01,2015-12-31
10071,96410,2016-01-01,2016-12-31
10071,103974,2017-01-01,2017-12-31
10071,106388,2018-01-01,2018-12-31
10071,111305,2019-01-01,2019-12-31
10071,119132,2020-01-01,2020-12-31
10071,123949,2021-01-01,2021-12-31
10071,132147,2022-01-01,2022-12-31
10071,142360,2023-01-01,2023-12-31
10072,65347,2018-01-01,2018-12-31
10072,67933,2019-01-01,2019-12-31
10072,71876,2020-01-01,2020-12-31
10072,76692,2021-01-01,2021-12-31
