emp_no,title,from_date,to_date
10040,Senior Engineer,2008-02-18,2011-08-25
10040,Manager,2011-08-25,9999-01-01
10041,Technique Leader,2012-06-10,9999-01-01
10042,Senior Staff,2022-05-22,9999-01-01
10043,Staff,2022-03-09,2025-08-30
10043,Senior Engineer,2025-08-30,9999-01-01
10044,Technique Leader,2013-09-16,9999-01-01
10045,Manager,2005-06-25,9999-01-01
10046,Engineer,2018-09-01,9999-01-01
10047,Engineer,2022-03-14,9999-01-01
10048,Senior Engineer,2011-11-08,2013-03-03
10048,Staff,2013-03-03,9999-01-01
10049,Technique Leader,2009-04-28,9999-01-01
10050,Staff,2015-07-26,9999-01-01
10051,Manager,2017-01-28,9999-01-01
10052,Senior Engineer,2012-04-01,2013-06-24
10052,Manager,2013-06-24,9999-01-01
10053,Technique Leader,2007-05-12,2009-05-31
10053,Manager,2009-05-31,9999-01-01
10054,Manager,2013-03-19,9999-01-01
10055,Manager,2015-07-20,2016-11-22
10055,Senior Staff,2016-11-22,9999-01-01
10056,Staff,2018-01-17,2019-07-08
10056,Engineer,2019-07-08,9999-01-01
10057,Staff,2015-10-11,9999-01-01
10058,Assistant Engineer,2018-06-13,9999-01-01
10059,Senior Engineer,2017-11-24,2021-10-29
10059,Manager,2021-10-29,9999-01-01
10060,Engineer,2005-05-10,9999-01-01
10061,Engineer,2011-09-16,9999-01-01
10062,Senior Engineer,2015-02-27,2016-06-13
10062,Engineer,2016-06-13,9999-01-01
10063,Staff,2005-01-08,9999-01-01
10064,Staff,2023-04-23,9999-01-01
10065,Engineer,2005-02-25,2006-12-29
10065,Technique Leader,2006-12-29,9999-01-01
10066,Staff,2022-04-28,9999-01-01
10067,Engineer,2022-10-11,9999-01-01
10068,Assistant Engineer,2020-08-09,9999-01-01
10069,Senior Staff,2012-05-15,2013-11-04
10069,Manager,2013-11-04,9999-01-01
10070,Manager,2022-02-05,9999-01-01
10071,Assistant Engineer,2007-07-14,2009-03-31
10071,Engineer,2009-03-31,9999-01-01
10072,Assistant Engineer,2018-07-25,9999-01-01
10073,Manager,2014-07-28,2015-09-03
10073,Engineer,2015-09-03,9999-01-01
10074,Engineer,2018-08-01,9999-01-01
10075,Senior Staff,2022-01-13,9999-01-01
10076,Technique Leader,2009-08-06,9999-01-01
10077,Senior Staff,2015-06-25,2017-04-01
10077,Technique Leader,2017-04-01,9999-01-01
10078,Staff,2007-08-01,9999-01-01
10079,Technique Leader,2007-11-02,9999-01-01
10080,Manager,2009-04-05,9999-01-01
10081,Assistant Engineer,2016-03-20,9999-01-01
10082,Technique Leader,2005-05-19,9999-01-01
10083,Manager,2012-02-23,9999-01-01
10084,Senior Staff,2018-11-12,2020-11-16
10084,Technique Leader,2020-11-16,9999-01-01
10085,Assistant Engineer,2020-02-14,9999-01-01
10086,Staff,2021-11-09,2024-11-24
10086,Senior Engineer,2024-11-24,9999-01-01
10087,Senior Engineer,2023-05-11,9999-01-01
10088,Technique Leader,2019-10-20,9999-01-01
10089,Senior Staff,2015-03-16,2017-07-17
10089,Manager,2017-07-17,9999-01-01
10090,Technique Leader,2013-09-01,9999-01-01
10091,Technique Leader,2020-09-25,2023-10-18
10091,Senior Staff,2023-10-18,9999-01-01
10092,Senior Engineer,2014-04-13,2017-06-03
10092,Engineer,2017-06-03,9999-01-01
10093,Senior Staff,2021-06-14,2023-03-24
10093,Technique Leader,2023-03-24,9999-01-01
10094,Staff,2013-05-09,9999-01-01
10095,Technique Leader,2022-12-06,2024-07-03
10095,Engineer,2024-07-03,9999-01-01
10096,Engineer,2021-10-10,9999-01-01
10097,Technique Leader,2014-01-23,9999-01-01
10098,Engineer,2014-12-05,9999-01-01
10099,Manager,2020-08-15,2024-01-27
10099,Senior Staff,2024-01-27,9999-01-01
10100,Senior Staff,2007-07-16,9999-01-01
10101,Engineer,2023-05-03,2026-08-29
10101,Staff,2026-08-29,9999-01-01
10102,Senior Engineer,2019-08-10,9999-01-01
10103,Senior Staff,2006-10-24,9999-01-01
10104,Staff,2010-04-06,2012-07-08
10104,Engineer,2012-07-08,9999-01-01
10105,Engineer,2020-05-02,9999-01-01
10106,Technique Leader,2012-05-26,9999-01-01
10107,Technique Leader,2012-11-05,9999-01-01
10108,Senior Staff,2014-10-24,9999-01-01
10109,Engineer,2014-12-13,9999-01-01
10110,Assistant Engineer,2006-07-24,2010-03-10
10110,Senior Staff,2010-03-10,9999-01-01
10111,Manager,2023-10-01,2025-03-11
10111,Staff,2025-03-11,9999-01-01
10112,Engineer,2019-05-06,9999-01-01
10113,Technique Leader,2018-06-11,9999-01-01
10114,Manager,2020-05-22,9999-01-01
10115,Staff,2013-06-04,2015-10-03
10115,Engineer,2015-10-03,9999-01-01
10116,Staff,2011-09-12,9999-01-01
10117,Senior Staff,2022-03-10,9999-01-01
10118,Assistant Engineer,2012-12-06,2016-06-29
10118,Manager,2016-06-29,9999-01-01
10119,Staff,2008-08-04,9999-01-01
10120,Manager,2013-07-27,2014-08-29
10120,Technique Leader,2014-08-29,9999-01-01
10121,Assistant Engineer,2017-04-20,9999-01-01
10122,Engineer,2021-05-27,9999-01-01
10123,Staff,2022-08-12,2025-08-03
10123,Manager,2025-08-03,9999-01-01
10124,Manager,2011-12-08,9999-01-01
10125,Senior Staff,2020-12-26,2022-06-19
10125,Assistant Engineer,2022-06-19,9999-01-01
10126,Staff,2021-10-11,9999-01-01
10127,Senior Engineer,2005-12-05,9999-01-01
10128,Staff,2017-11-03,2021-01-03
10128,Assistant Engineer,2021-01-03,9999-01-01
10129,Engineer,2020-09-02,9999-01-01
10130,Engineer,2007-07-04,9999-01-01
10131,Engineer,2005-01-11,9999-01-01
10132,Assistant Engineer,2009-04-17,9999-01-01
10133,Technique Leader,2017-10-22,9999-01-01
10134,Senior Staff,2013-08-09,9999-01-01
10135,Engineer,2010-02-15,9999-01-01
10136,Technique Leader,2019-05-07,9999-01-01
10137,Technique Leader,2016-10-10,9999-01-01
10138,Assistant Engineer,2023-11-25,2025-12-02
10138,Senior Engineer,2025-12-02,9999-01-01
10139,Staff,2016-04-21,9999-01-01
10140,Staff,2006-05-26,2008-07-11
10140,Engineer,2008-07-11,9999-01-01
10141,Technique Leader,2015-12-14,9999-01-01
10142,Staff,2013-03-09,9999-01-01
10143,Engineer,2007-03-25,9999-01-01
10144,Technique Leader,2013-09-04,2017-04-30
10144,Manager,2017-04-30,9999-01-01
10145,Staff,2008-11-08,9999-01-01
10146,Engineer,2019-12-10,9999-01-01
10147,Technique Leader,2014-08-04,9999-01-01
10148,Technique Leader,2022-07-19,9999-01-01
10149,Engineer,2018-05-02,9999-01-01
10150,Technique Leader,2016-02-22,9999-01-01
