emp_no,dept_no,from_date,to_date
10101,d003,2023-05-03,9999-01-01
10102,d008,2019-08-10,9999-01-01
10103,d002,2006-10-24,9999-01-01
10104,d002,2010-04-06,9999-01-01
10105,d002,2020-05-02,9999-01-01
10106,d002,2012-05-26,9999-01-01
10107,d007,2012-11-05,9999-01-01
10108,d002,2014-10-24,9999-01-01
10109,d006,2014-12-13,9999-01-01
10110,d003,2006-07-24,9999-01-01
10111,d009,2023-10-01,9999-01-01
10112,d001,2019-05-06,9999-01-01
10113,d009,2018-06-11,9999-01-01
10114,d009,2020-05-22,9999-01-01
10115,d006,2013-06-04,9999-01-01
10116,d002,2011-09-12,9999-01-01
10117,d007,2022-03-10,9999-01-01
10118,d006,2012-12-06,9999-01-01
10119,d007,2008-08-04,9999-01-01
10120,d001,2013-07-27,9999-01-01
10121,d005,2017-04-20,9999-01-01
10122,d005,2021-05-27,9999-01-01
10123,d006,2022-08-12,9999-01-01
10124,d002,2011-12-08,9999-01-01
10125,d009,2020-12-26,9999-01-01
10126,d004,2021-10-11,9999-01-01
10127,d003,2005-12-05,9999-01-01
10128,d008,2017-11-03,9999-01-01
10129,d004,2020-09-02,9999-01-01
10130,d002,2007-07-04,9999-01-01
10131,d006,2005-01-11,9999-01-01
10132,d009,2009-04-17,9999-01-01
10133,d006,2017-10-22,9999-01-01
10134,d002,2013-08-09,9999-01-01
10135,d005,2010-02-15,9999-01-01
10136,d004,2019-05-07,9999-01-01
10137,d007,2016-10-10,9999-01-01
10138,d009,2023-11-25,9999-01-01
10139,d009,2016-04-21,9999-01-01
10140,d001,2006-05-26,9999-01-01
10141,d005,2015-12-14,9999-01-01
10142,d001,2013-03-09,9999-01-01
10143,d003,2007-03-25,9999-01-01
10144,d005,2013-09-04,9999-01-01
10145,d005,2008-11-08,9999-01-01
10146,d006,2019-12-10,9999-01-01
10147,d006,2014-08-04,9999-01-01
10148,d001,2022-07-19,9999-01-01
10149,d003,2018-05-02,9999-01-01
10150,d003,2016-02-22,9999-01-01
